Year,Period,Area,Ownership,Industry Code,Industry,Level,Establishments,Firms,Average Employment,Average Weekly Wage,Total Wages,Month 1 Employment,Month 2 Employment,Month 3 Employment,Hierarchical Ordering
2014,1,Texas,Private,52,Finance and Insurance,2,"36,849 ","21,412 ","484,466 ","1,871 ","11,783,921,171 ","484,012 ","484,567 ","484,818 ",1775
2014,2,Texas,Private,52,Finance and Insurance,2,"36,967 ","21,397 ","486,929 ","1,366 ","8,647,292,620 ","485,773 ","486,367 ","488,647 ",1775
2014,3,Texas,Private,52,Finance and Insurance,2,"37,416 ","21,631 ","491,306 ","1,368 ","8,735,494,700 ","490,793 ","492,162 ","490,964 ",1775
2014,4,Texas,Private,52,Finance and Insurance,2,"37,709 ","21,763 ","496,599 ","1,543 ","9,964,209,824 ","494,696 ","496,566 ","498,536 ",1775
2015,1,Texas,Private,52,Finance and Insurance,2,"37,995 ","21,835 ","497,972 ","1,937 ","12,538,151,157 ","496,760 ","497,946 ","499,209 ",1775
2015,2,Texas,Private,52,Finance and Insurance,2,"38,255 ","21,916 ","501,208 ","1,419 ","9,247,216,004 ","498,783 ","500,620 ","504,222 ",1775
2015,3,Texas,Private,52,Finance and Insurance,2,"38,437 ","22,096 ","507,424 ","1,424 ","9,394,728,467 ","506,942 ","507,770 ","507,560 ",1775
2015,4,Texas,Private,52,Finance and Insurance,2,"38,661 ","22,179 ","510,855 ","1,606 ","10,665,020,247 ","509,191 ","510,964 ","512,409 ",1775
2016,1,Texas,Private,52,Finance and Insurance,2,"38,707 ","22,246 ","507,735 ","1,889 ","12,471,345,177 ","507,086 ","508,074 ","508,044 ",1775
2016,2,Texas,Private,52,Finance and Insurance,2,"38,772 ","22,258 ","511,936 ","1,477 ","9,830,987,940 ","510,823 ","511,994 ","512,992 ",1775
2016,3,Texas,Private,52,Finance and Insurance,2,"38,983 ","22,432 ","516,590 ","1,486 ","9,981,536,251 ","516,648 ","517,207 ","515,914 ",1775
2016,4,Texas,Private,52,Finance and Insurance,2,"39,109 ","22,597 ","520,270 ","1,623 ","10,975,909,582 ","518,607 ","520,321 ","521,882 ",1775
2017,1,Texas,Private,52,Finance and Insurance,2,"39,828 ","22,825 ","519,728 ","2,046 ","13,827,055,116 ","519,510 ","519,941 ","519,734 ",1775
2017,2,Texas,Private,52,Finance and Insurance,2,"39,988 ","22,832 ","523,188 ","1,532 ","10,420,902,437 ","521,192 ","522,471 ","525,900 ",1775
2017,3,Texas,Private,52,Finance and Insurance,2,"40,333 ","22,940 ","529,342 ","1,492 ","10,266,108,258 ","528,506 ","528,821 ","530,699 ",1775
2017,4,Texas,Private,52,Finance and Insurance,2,"40,875 ","23,167 ","533,329 ","1,698 ","11,769,960,510 ","533,418 ","532,765 ","533,804 ",1775
2018,1,Texas,Private,52,Finance and Insurance,2,"40,887 ","23,282 ","530,284 ","2,154 ","14,846,751,533 ","529,046 ","531,091 ","530,714 ",1775
2018,2,Texas,Private,52,Finance and Insurance,2,"40,828 ","23,311 ","531,541 ","1,580 ","10,918,453,836 ","529,341 ","530,455 ","534,828 ",1775
2018,3,Texas,Private,52,Finance and Insurance,2,"41,322 ","23,478 ","536,769 ","1,541 ","10,752,055,153 ","536,678 ","537,434 ","536,195 ",1775
2018,4,Texas,Private,52,Finance and Insurance,2,"41,435 ","23,666 ","540,601 ","1,753 ","12,319,254,331 ","539,789 ","540,831 ","541,182 ",1775
2019,1,Texas,Private,52,Finance and Insurance,2,"41,786 ","23,947 ","540,868 ","2,199 ","15,460,069,160 ","539,395 ","541,554 ","541,656 ",1775
2019,2,Texas,Private,52,Finance and Insurance,2,"42,094 ","23,881 ","545,305 ","1,646 ","11,665,211,648 ","543,013 ","543,996 ","548,906 ",1775
2019,3,Texas,Private,52,Finance and Insurance,2,"42,252 ","24,074 ","552,623 ","1,626 ","11,680,556,795 ","551,812 ","553,881 ","552,176 ",1775
2019,4,Texas,Private,52,Finance and Insurance,2,"42,659 ","24,229 ","555,969 ","1,844 ","13,326,727,981 ","554,340 ","556,103 ","557,465 ",1775
2020,1,Texas,Private,52,Finance and Insurance,2,"43,032 ","24,616 ","556,839 ","2,299 ","16,642,597,166 ","555,288 ","557,660 ","557,569 ",1775
2020,2,Texas,Private,52,Finance and Insurance,2,"43,303 ","24,729 ","554,528 ","1,746 ","12,590,051,149 ","552,591 ","554,222 ","556,772 ",1775
2020,3,Texas,Private,52,Finance and Insurance,2,"43,688 ","24,970 ","559,447 ","1,719 ","12,501,033,877 ","557,795 ","560,220 ","560,325 ",1775
2020,4,Texas,Private,52,Finance and Insurance,2,"43,719 ","25,156 ","567,414 ","2,067 ","15,248,157,860 ","565,259 ","567,662 ","569,320 ",1775
2006,1,Motley,Private,52,Finance and Insurance,2,3 ,3 ,7 ,510 ,"46,453 ",7 ,7 ,7 ,1775
2006,1,Delta,Private,52,Finance and Insurance,2,3 ,3 ,23 ,493 ,"147,525 ",23 ,23 ,23 ,1775
2006,1,Real,Private,52,Finance and Insurance,2,3 ,3 ,27 ,373 ,"130,914 ",27 ,28 ,26 ,1775
2006,1,Donley,Private,52,Finance and Insurance,2,3 ,3 ,30 ,616 ,"243,067 ",30 ,31 ,30 ,1775
2006,1,Stonewall,Private,52,Finance and Insurance,2,4 ,4 ,13 ,502 ,"84,798 ",13 ,13 ,13 ,1775
2006,1,Upton,Private,52,Finance and Insurance,2,4 ,4 ,14 ,410 ,"76,342 ",15 ,14 ,14 ,1775
2006,1,Jeff Davis,Private,52,Finance and Insurance,2,4 ,4 ,22 ,776 ,"218,682 ",20 ,23 ,22 ,1775
2006,1,Cottle,Private,52,Finance and Insurance,2,4 ,4 ,27 ,738 ,"258,923 ",27 ,27 ,27 ,1775
2006,1,Martin,Private,52,Finance and Insurance,2,4 ,4 ,28 ,560 ,"206,223 ",29 ,28 ,28 ,1775
2006,1,Shackelford,Private,52,Finance and Insurance,2,4 ,4 ,34 ,616 ,"272,201 ",34 ,34 ,34 ,1775
2006,1,Concho,Private,52,Finance and Insurance,2,4 ,4 ,36 ,540 ,"255,185 ",37 ,36 ,36 ,1775
2006,1,Fisher,Private,52,Finance and Insurance,2,4 ,4 ,42 ,593 ,"323,732 ",43 ,41 ,42 ,1775
2006,1,Lipscomb,Private,52,Finance and Insurance,2,5 ,5 ,22 ,756 ,"216,353 ",21 ,22 ,23 ,1775
2006,1,Schleicher,Private,52,Finance and Insurance,2,5 ,5 ,22 ,530 ,"151,443 ",22 ,22 ,22 ,1775
2006,1,Reagan,Private,52,Finance and Insurance,2,5 ,5 ,22 ,396 ,"114,949 ",22 ,22 ,23 ,1775
2006,1,Menard,Private,52,Finance and Insurance,2,5 ,5 ,25 ,639 ,"207,539 ",25 ,25 ,25 ,1775
2006,1,La Salle,Private,52,Finance and Insurance,2,5 ,5 ,26 ,469 ,"160,718 ",27 ,27 ,25 ,1775
2006,1,Coke,Private,52,Finance and Insurance,2,5 ,5 ,33 ,540 ,"234,089 ",34 ,33 ,33 ,1775
2006,1,Kimble,Private,52,Finance and Insurance,2,5 ,5 ,37 ,565 ,"274,382 ",38 ,37 ,37 ,1775
2006,1,Jim Hogg,Private,52,Finance and Insurance,2,5 ,5 ,39 ,514 ,"258,415 ",40 ,38 ,38 ,1775
2006,1,Collingsworth,Private,52,Finance and Insurance,2,5 ,5 ,62 ,652 ,"527,964 ",62 ,62 ,63 ,1775
2006,1,Cochran,Private,52,Finance and Insurance,2,6 ,5 ,23 ,759 ,"230,130 ",25 ,24 ,21 ,1775
2006,1,San Jacinto,Private,52,Finance and Insurance,2,6 ,5 ,49 ,513 ,"326,727 ",49 ,49 ,49 ,1775
2006,1,Sabine,Private,52,Finance and Insurance,2,6 ,5 ,58 ,549 ,"411,854 ",53 ,61 ,59 ,1775
2006,1,Throckmorton,Private,52,Finance and Insurance,2,6 ,6 ,12 ,594 ,"92,734 ",11 ,12 ,13 ,1775
2006,1,Mitchell,Private,52,Finance and Insurance,2,6 ,6 ,34 ,486 ,"212,790 ",32 ,34 ,35 ,1775
2006,1,Sutton,Private,52,Finance and Insurance,2,6 ,6 ,43 ,670 ,"371,691 ",43 ,43 ,42 ,1775
2006,1,Rains,Private,52,Finance and Insurance,2,6 ,6 ,45 ,677 ,"396,044 ",45 ,45 ,45 ,1775
2006,1,Hall,Private,52,Finance and Insurance,2,6 ,6 ,49 ,497 ,"316,597 ",49 ,49 ,49 ,1775
2006,1,Mills,Private,52,Finance and Insurance,2,6 ,6 ,57 ,573 ,"422,350 ",57 ,56 ,57 ,1775
2006,1,Knox,Private,52,Finance and Insurance,2,6 ,6 ,57 ,569 ,"424,385 ",58 ,55 ,59 ,1775
2006,1,Crane,Private,52,Finance and Insurance,2,7 ,7 ,18 ,446 ,"102,385 ",20 ,16 ,17 ,1775
2006,1,Garza,Private,52,Finance and Insurance,2,7 ,7 ,28 ,513 ,"184,541 ",28 ,28 ,27 ,1775
2006,1,Goliad,Private,52,Finance and Insurance,2,7 ,7 ,35 ,663 ,"301,869 ",36 ,35 ,34 ,1775
2006,1,Zavala,Private,52,Finance and Insurance,2,7 ,7 ,47 ,418 ,"255,164 ",46 ,47 ,48 ,1775
2006,1,Presidio,Private,52,Finance and Insurance,2,7 ,7 ,52 ,464 ,"313,755 ",52 ,52 ,52 ,1775
2006,1,Crosby,Private,52,Finance and Insurance,2,7 ,7 ,53 ,676 ,"462,528 ",53 ,52 ,53 ,1775
2006,1,Hardeman,Private,52,Finance and Insurance,2,7 ,7 ,54 ,550 ,"383,369 ",54 ,53 ,54 ,1775
2006,1,San Augustine,Private,52,Finance and Insurance,2,7 ,7 ,68 ,442 ,"388,413 ",67 ,67 ,69 ,1775
2006,1,Duval,Private,52,Finance and Insurance,2,8 ,7 ,51 ,477 ,"314,500 ",51 ,51 ,50 ,1775
2006,1,Franklin,Private,52,Finance and Insurance,2,9 ,7 ,112 ,753 ,"1,097,010 ",111 ,112 ,113 ,1775
2006,1,Blanco,Private,52,Finance and Insurance,2,9 ,7 ,131 ,570 ,"968,220 ",130 ,131 ,131 ,1775
2006,1,Zapata,Private,52,Finance and Insurance,2,12 ,7 ,113 ,425 ,"621,806 ",113 ,113 ,112 ,1775
2006,1,Dimmit,Private,52,Finance and Insurance,2,8 ,8 ,39 ,448 ,"228,948 ",39 ,40 ,39 ,1775
2006,1,Carson,Private,52,Finance and Insurance,2,8 ,8 ,43 ,485 ,"269,287 ",44 ,42 ,42 ,1775
2006,1,Brooks,Private,52,Finance and Insurance,2,8 ,8 ,62 ,552 ,"447,700 ",63 ,62 ,62 ,1775
2006,1,Jack,Private,52,Finance and Insurance,2,8 ,8 ,65 ,691 ,"583,845 ",64 ,65 ,66 ,1775
2006,1,Archer,Private,52,Finance and Insurance,2,9 ,9 ,18 ,620 ,"145,167 ",18 ,18 ,18 ,1775
2006,1,San Saba,Private,52,Finance and Insurance,2,9 ,9 ,39 ,462 ,"234,473 ",38 ,39 ,40 ,1775
2006,1,Marion,Private,52,Finance and Insurance,2,9 ,9 ,48 ,474 ,"297,972 ",50 ,48 ,47 ,1775
2006,1,Hansford,Private,52,Finance and Insurance,2,9 ,9 ,98 ,689 ,"877,577 ",98 ,99 ,97 ,1775
2006,1,Somervell,Private,52,Finance and Insurance,2,10 ,9 ,42 ,616 ,"336,440 ",38 ,38 ,50 ,1775
2006,1,Yoakum,Private,52,Finance and Insurance,2,10 ,10 ,39 ,480 ,"243,348 ",41 ,38 ,38 ,1775
2006,1,Mason,Private,52,Finance and Insurance,2,10 ,10 ,46 ,652 ,"392,572 ",45 ,47 ,47 ,1775
2006,1,Winkler,Private,52,Finance and Insurance,2,10 ,10 ,56 ,629 ,"455,130 ",56 ,57 ,54 ,1775
2006,1,Wheeler,Private,52,Finance and Insurance,2,10 ,10 ,63 ,487 ,"399,059 ",65 ,62 ,62 ,1775
2006,1,Haskell,Private,52,Finance and Insurance,2,11 ,10 ,55 ,463 ,"333,113 ",56 ,55 ,55 ,1775
2006,1,Callahan,Private,52,Finance and Insurance,2,11 ,10 ,96 ,704 ,"875,309 ",100 ,95 ,92 ,1775
2006,1,Ward,Private,52,Finance and Insurance,2,14 ,10 ,118 ,770 ,"1,181,785 ",118 ,116 ,120 ,1775
2006,1,Clay,Private,52,Finance and Insurance,2,11 ,11 ,41 ,757 ,"406,778 ",41 ,41 ,42 ,1775
2006,1,Trinity,Private,52,Finance and Insurance,2,11 ,11 ,58 ,579 ,"438,822 ",55 ,54 ,66 ,1775
2006,1,Childress,Private,52,Finance and Insurance,2,11 ,11 ,58 ,617 ,"462,721 ",58 ,56 ,59 ,1775
2006,1,Parmer,Private,52,Finance and Insurance,2,11 ,11 ,83 ,666 ,"716,045 ",85 ,83 ,80 ,1775
2006,1,Coleman,Private,52,Finance and Insurance,2,11 ,11 ,103 ,665 ,"893,122 ",104 ,102 ,104 ,1775
2006,1,Floyd,Private,52,Finance and Insurance,2,12 ,11 ,70 ,622 ,"568,322 ",71 ,70 ,70 ,1775
2006,1,Live Oak,Private,52,Finance and Insurance,2,13 ,11 ,92 ,597 ,"714,341 ",92 ,92 ,92 ,1775
2006,1,Swisher,Private,52,Finance and Insurance,2,12 ,12 ,51 ,868 ,"571,979 ",52 ,52 ,48 ,1775
2006,1,Hamilton,Private,52,Finance and Insurance,2,12 ,12 ,58 ,684 ,"515,604 ",59 ,57 ,58 ,1775
2006,1,Willacy,Private,52,Finance and Insurance,2,12 ,12 ,78 ,627 ,"635,278 ",77 ,76 ,81 ,1775
2006,1,Frio,Private,52,Finance and Insurance,2,12 ,12 ,87 ,623 ,"702,406 ",88 ,86 ,86 ,1775
2006,1,Castro,Private,52,Finance and Insurance,2,13 ,13 ,61 ,878 ,"692,295 ",61 ,60 ,61 ,1775
2006,1,Lynn,Private,52,Finance and Insurance,2,13 ,13 ,62 ,621 ,"497,870 ",61 ,63 ,61 ,1775
2006,1,Baylor,Private,52,Finance and Insurance,2,13 ,13 ,62 ,478 ,"385,350 ",62 ,62 ,62 ,1775
2006,1,Refugio,Private,52,Finance and Insurance,2,13 ,13 ,70 ,595 ,"544,210 ",71 ,70 ,70 ,1775
2006,1,Hemphill,Private,52,Finance and Insurance,2,13 ,13 ,78 ,681 ,"693,142 ",78 ,78 ,79 ,1775
2006,1,Madison,Private,52,Finance and Insurance,2,13 ,13 ,86 ,873 ,"979,400 ",85 ,87 ,87 ,1775
2006,1,Andrews,Private,52,Finance and Insurance,2,13 ,13 ,157 ,696 ,"1,419,667 ",155 ,155 ,161 ,1775
2006,1,Bosque,Private,52,Finance and Insurance,2,14 ,13 ,111 ,558 ,"802,795 ",108 ,108 ,116 ,1775
2006,1,Robertson,Private,52,Finance and Insurance,2,15 ,13 ,101 ,695 ,"915,321 ",103 ,101 ,100 ,1775
2006,1,Comanche,Private,52,Finance and Insurance,2,15 ,13 ,151 ,614 ,"1,202,835 ",150 ,147 ,155 ,1775
2006,1,Bailey,Private,52,Finance and Insurance,2,14 ,14 ,82 ,696 ,"744,569 ",81 ,83 ,83 ,1775
2006,1,McCulloch,Private,52,Finance and Insurance,2,14 ,14 ,83 ,526 ,"564,916 ",82 ,83 ,83 ,1775
2006,1,Ochiltree,Private,52,Finance and Insurance,2,14 ,14 ,120 ,734 ,"1,148,688 ",119 ,121 ,121 ,1775
2006,1,Tyler,Private,52,Finance and Insurance,2,16 ,14 ,110 ,581 ,"828,984 ",110 ,111 ,108 ,1775
2006,1,Gaines,Private,52,Finance and Insurance,2,16 ,14 ,126 ,616 ,"1,009,085 ",125 ,127 ,126 ,1775
2006,1,Morris,Private,52,Finance and Insurance,2,17 ,14 ,148 ,641 ,"1,232,618 ",146 ,148 ,150 ,1775
2006,1,Red River,Private,52,Finance and Insurance,2,15 ,15 ,71 ,607 ,"560,377 ",72 ,70 ,71 ,1775
2006,1,Camp,Private,52,Finance and Insurance,2,15 ,15 ,210 ,617 ,"1,681,405 ",202 ,205 ,222 ,1775
2006,1,Karnes,Private,52,Finance and Insurance,2,16 ,15 ,103 ,791 ,"1,055,672 ",104 ,101 ,103 ,1775
2006,1,Grimes,Private,52,Finance and Insurance,2,17 ,16 ,138 ,652 ,"1,167,121 ",136 ,143 ,134 ,1775
2006,1,Brewster,Private,52,Finance and Insurance,2,17 ,16 ,195 ,585 ,"1,485,005 ",197 ,197 ,192 ,1775
2006,1,Stephens,Private,52,Finance and Insurance,2,17 ,17 ,114 ,631 ,"932,663 ",122 ,109 ,110 ,1775
2006,1,Reeves,Private,52,Finance and Insurance,2,17 ,17 ,144 ,392 ,"732,495 ",148 ,142 ,141 ,1775
2006,1,Runnels,Private,52,Finance and Insurance,2,18 ,17 ,117 ,486 ,"737,200 ",114 ,118 ,118 ,1775
2006,1,Leon,Private,52,Finance and Insurance,2,18 ,17 ,134 ,573 ,"996,118 ",135 ,132 ,134 ,1775
2006,1,Montague,Private,52,Finance and Insurance,2,19 ,17 ,174 ,688 ,"1,558,210 ",171 ,177 ,175 ,1775
2006,1,Bandera,Private,52,Finance and Insurance,2,19 ,18 ,98 ,633 ,"803,510 ",100 ,98 ,95 ,1775
2006,1,Burleson,Private,52,Finance and Insurance,2,21 ,18 ,139 ,519 ,"938,308 ",138 ,139 ,140 ,1775
2006,1,Nolan,Private,52,Finance and Insurance,2,22 ,18 ,154 ,632 ,"1,265,012 ",156 ,152 ,154 ,1775
2006,1,Falls,Private,52,Finance and Insurance,2,20 ,19 ,90 ,532 ,"620,060 ",88 ,91 ,90 ,1775
2006,1,Dallam,Private,52,Finance and Insurance,2,20 ,20 ,104 ,736 ,"991,557 ",104 ,102 ,105 ,1775
2006,1,Dawson,Private,52,Finance and Insurance,2,20 ,20 ,136 ,617 ,"1,092,862 ",134 ,137 ,138 ,1775
2006,1,Pecos,Private,52,Finance and Insurance,2,20 ,20 ,160 ,558 ,"1,160,809 ",162 ,159 ,159 ,1775
2006,1,Waller,Private,52,Finance and Insurance,2,21 ,20 ,108 ,739 ,"1,033,976 ",107 ,108 ,108 ,1775
2006,1,Calhoun,Private,52,Finance and Insurance,2,21 ,20 ,336 ,438 ,"1,916,823 ",338 ,332 ,339 ,1775
2006,1,Eastland,Private,52,Finance and Insurance,2,24 ,20 ,113 ,667 ,"982,414 ",113 ,113 ,114 ,1775
2006,1,Milam,Private,52,Finance and Insurance,2,24 ,20 ,219 ,652 ,"1,857,257 ",221 ,217 ,219 ,1775
2006,1,Terry,Private,52,Finance and Insurance,2,21 ,21 ,96 ,649 ,"812,468 ",96 ,97 ,96 ,1775
2006,1,Lampasas,Private,52,Finance and Insurance,2,22 ,21 ,141 ,584 ,"1,072,295 ",140 ,139 ,145 ,1775
2006,1,Deaf Smith,Private,52,Finance and Insurance,2,22 ,21 ,145 ,685 ,"1,291,363 ",143 ,144 ,148 ,1775
2006,1,Aransas,Private,52,Finance and Insurance,2,23 ,21 ,138 ,953 ,"1,713,495 ",139 ,139 ,137 ,1775
2006,1,Lee,Private,52,Finance and Insurance,2,23 ,21 ,213 ,675 ,"1,866,624 ",213 ,211 ,214 ,1775
2006,1,Freestone,Private,52,Finance and Insurance,2,24 ,21 ,140 ,677 ,"1,228,909 ",140 ,139 ,140 ,1775
2006,1,Llano,Private,52,Finance and Insurance,2,25 ,21 ,195 ,749 ,"1,894,975 ",192 ,195 ,197 ,1775
2006,1,Panola,Private,52,Finance and Insurance,2,22 ,22 ,169 ,716 ,"1,572,891 ",166 ,171 ,170 ,1775
2006,1,Jackson,Private,52,Finance and Insurance,2,23 ,22 ,106 ,502 ,"694,145 ",108 ,106 ,105 ,1775
2006,1,Colorado,Private,52,Finance and Insurance,2,23 ,22 ,166 ,712 ,"1,537,154 ",163 ,168 ,167 ,1775
2006,1,Jones,Private,52,Finance and Insurance,2,24 ,22 ,126 ,674 ,"1,107,514 ",123 ,126 ,130 ,1775
2006,1,Hutchinson,Private,52,Finance and Insurance,2,27 ,22 ,151 ,656 ,"1,290,008 ",154 ,151 ,149 ,1775
2006,1,Uvalde,Private,52,Finance and Insurance,2,23 ,23 ,211 ,999 ,"2,740,505 ",210 ,211 ,212 ,1775
2006,1,Chambers,Private,52,Finance and Insurance,2,24 ,23 ,180 ,580 ,"1,355,584 ",180 ,178 ,181 ,1775
2006,1,Wilson,Private,52,Finance and Insurance,2,26 ,23 ,154 ,707 ,"1,412,074 ",152 ,154 ,155 ,1775
2006,1,Limestone,Private,52,Finance and Insurance,2,27 ,23 ,204 ,550 ,"1,459,756 ",207 ,202 ,204 ,1775
2006,1,Caldwell,Private,52,Finance and Insurance,2,24 ,24 ,161 ,634 ,"1,327,762 ",164 ,160 ,159 ,1775
2006,1,Wilbarger,Private,52,Finance and Insurance,2,25 ,24 ,168 ,672 ,"1,467,752 ",164 ,165 ,175 ,1775
2006,1,Scurry,Private,52,Finance and Insurance,2,25 ,24 ,186 ,807 ,"1,955,811 ",184 ,192 ,183 ,1775
2006,1,Palo Pinto,Private,52,Finance and Insurance,2,28 ,24 ,194 ,602 ,"1,517,407 ",191 ,195 ,196 ,1775
2006,1,Gonzales,Private,52,Finance and Insurance,2,28 ,24 ,209 ,702 ,"1,904,803 ",213 ,209 ,204 ,1775
2006,1,Lavaca,Private,52,Finance and Insurance,2,25 ,25 ,150 ,552 ,"1,074,846 ",149 ,149 ,151 ,1775
2006,1,Houston,Private,52,Finance and Insurance,2,26 ,25 ,193 ,"1,397 ","3,504,005 ",191 ,191 ,197 ,1775
2006,1,Upshur,Private,52,Finance and Insurance,2,26 ,25 ,203 ,604 ,"1,595,646 ",203 ,203 ,204 ,1775
2006,1,Moore,Private,52,Finance and Insurance,2,27 ,25 ,156 ,514 ,"1,044,628 ",155 ,162 ,152 ,1775
2006,1,Lamb,Private,52,Finance and Insurance,2,28 ,25 ,208 ,567 ,"1,534,886 ",207 ,210 ,208 ,1775
2006,1,Starr,Private,52,Finance and Insurance,2,30 ,25 ,220 ,476 ,"1,363,340 ",225 ,223 ,213 ,1775
2006,1,Bee,Private,52,Finance and Insurance,2,27 ,27 ,188 ,739 ,"1,803,744 ",188 ,187 ,188 ,1775
2006,1,DeWitt,Private,52,Finance and Insurance,2,33 ,27 ,314 ,796 ,"3,247,635 ",312 ,313 ,316 ,1775
2006,1,Shelby,Private,52,Finance and Insurance,2,32 ,29 ,240 ,745 ,"2,327,350 ",238 ,241 ,242 ,1775
2006,1,Bastrop,Private,52,Finance and Insurance,2,39 ,29 ,385 ,620 ,"3,103,602 ",383 ,384 ,389 ,1775
